Question,Answer
هل يمكن لمسلم أن يحج نيابة عن قريب له ميت، وكان لا يصلي، ولم يذهب للحج؟, ُعرف عنه يقينا ترك الصلاة فلا يجوز أن ُيحج عنه، من  لتفريطه في أعظم عبادة وهي الصلاة. 
مت إنابة شخص لأداء الحج، لكن النائب لم يتمكن من الذهاب. ماذا يفعل؟, بإمكانه أن يدفع المال  إلى من يثق في دينه وأمانته ليحج به عمن دفعه إليه، مع إخبار صاحب المال  إن تيسر ذلك. 
إذا تعافى المريض بعد أن تم الحج عنه إنابة، فهل يحج حجة الفريضة، أم أنها تسقط عنه؟, إذا عوفي المريض بعد أن حج عنه نائبه فلا تلزمه الإعادة لأن دين الله قد تم قضاؤه. 
هل ُتنيب المرأة غيرها لأداء الحج إذا لم يكن عندها محرم؟,لا تنيب المرأة إلا بعد أن تيأس من وجود المحرم. 
هل يصح الحج عن القادر إنابة، حج نفل؟, الإنابة في الحج جاءت عن الميت الذي لم يحج، أو عن العاجز، مثل الذي منعه كبر السن أو المرض، والأصل ف العبادات عدم النيابة إلا بدليل، وتكون العبادة باقية في الذمة. 
إذا بقي شيء من مال الإنابة، فماذا يفعل الحاج به؟, إذا قيل له ابتداء: حج من هذا المال ! فعليه أن يرجع الباقي، وإذا قيل له: حج بهذا المال ! فله أن يأخذ الباقي. 
ما حكم الإنابة عن العاجز عن أداء الحج نافلة، وقد أدى الفريضة سابقا، لظروف السن وغيرها؟, لا بأس في هذا الفعل. 
مريض يحتاج إلى عمل غسيل للكلى أسبوعيا، هل يلزمه الحج أم بإمكانه أن ينيب غيره؟, مثل هذا المرض لا يشفي صاحبه في الغالب، فإن كان عنده مال وجب عليه أن يوكل من يحج عنه بالمال الذي عنده، أو يتطوع مسلم بالحج عنه، ألنه غير ملزم بوجوب الحج 
  بعض النساء ُيعلقن أمر لبسهن للحجاب بأداء الحج. فهل هذا الشرط صحيح ؟, هذا ليس بصحيح، فالحجاب حكم شرعي لا عاقة له بالحج، وأيضا لا يحق للمسلمة المطيعة لخالقها أن تشترط عليه عدم طاعتها لأمره سبحانه إلا بعد أداء طاعة أخرى، ومن الذي أعلمها أن لبس الحجاب ينبغي أن ُيعلق أمره بأداء فريضة الحج؟ ولتعلم من تشترط مثل هذا أنها لو ماتت قبل فريضة الحج فإنها تعتبر آثمة عاصية ألمر ربها في عدم لزوم أمره بالحجاب. 
هل يجوز للمعتدة من الوفاة أن تؤدي العمرة أو الحج؟, في عدة الوفاة لا يجوز لها أن تخرج من بيتها وتسافر للحج وغيره حتى تنقضي عدتها 
ما الحكم بالنسبة لسفر المعتدة من الطالق؟, المعتدة من الطاق الرجعي البد أن تستأذن من زوجها. 
امرأة تعلم أن حيضتها ستأتي وقت أداء العمرة أو الحج، فهل تعقد النية وتمضي لأداء النسك، أم تؤجل العمرة؟, تمضي للعبادة، وعليها أن تغتسل، لكن تؤخر الطواف والسعي فقط حتى تطهر. 
ما الدليل على هذا فعل الحائض في الحج؟,دليله حديث: «الحائض والنفساء إذا أتتا على الوقت تغتسلان وتحرمان، وتقضيان المناسك كلها غير الطواف بالبيت.» رواه أبوداود 
هل يجوز أخذ أدوية رافعة للدورة الشهرية قبل العمرة واحلج؟, يجوز ذلك، من بعد سؤال أهل الطب بعدم وجود أي ضرر منها. 
هل ُيشرع للحائض الدعاء والاستغفار؟, نعم، بل يستحب لها الإكثار من الدعاء لا سيما في الأوقات الشريفة. من أحكام احمل َرم للنساء: 
ما المقصود ب المحرم للمرأة؟, المقصود ب المحرم: الذكر الذي يرعى ويقوم بأمر أهله ونساء بيته، مثل الزوج، أو من يحرم على المرأة مناكحتها، على التأبيد؛ بقرابة أو رضاع أو مصاهرة. 
هل يشترط تحقق البلوغ في المحرم؟, الأفضل بلوغه سن البلوغ. 
لو كان المحرم في سن التمييز، هل يكون محرما لأهله؟, يمكن هذا، وهو قول وجيه للمالكية، ويمكن الإخذ به، إذ لم يرد نص شرعي بتحديد سن للمحرم، ولذا يمكن القول العبرة بقدرته على القيام بحاجة أهله. 
هل المحرم واجب على المرأة للسفر؟, نعم ولكل سفر، لقوله :[ « لا يحل المرأة تؤمن بالله واليوم   الآخر أن تسافر إلا مع ذي محرم .» موطأ مالك 
هل يشترط في المحرم للحج أن يكون مسلما؟, نعم، هذا واجب
إذا حجت المرأة من غير.  م ْح َرم، فهل حجها صحيح؟,  حجها صحيح، لكنها تعتبر عاصية بسفرها بدون محرم، وعليها التوبة من ذلك. 
هل يكون الرجل محرما لأخت زوجته؟, أخت الزوجة من المحرمات على الرجل تحريما مؤقتا ، فلذا لا   يكون زوج أختها محرما لها في السفر. 
هل يجوز التوكيل في المحرم؟, لا يجوز، لان المحرم متعلق بالنسب أو الرضاع أو المصاهرة. 
هل يجوز ذهاب مجموعة من النساء الثقات ذوات الدين والخلق، وكبار السن إلى الحج ..من غير محرم؟, ذهب بعض العلماء إلى جواز ذلك، لكن الحديث صريح باشتراط المحرم للمرأة، لقوله :[ «ال يحل المرأة تؤمن بالله واليوم الآخر أن تسافر مسيرة يوم وليلة إلا مع ذي محرم.» رواه مسلم. وجاء عن ابن عباس ] أن رسول الله [ قال: «ال تسافر المرأة إلا ومعها محرم» فقال رجل: يا نبي الله، إني اكتتبت في غزوة كذا، وامرأتي حاجة؟ قال: «ارجع، فحج مع امرأتك» رواه البخاري. والنبي لم يستفصل من الزوج عن رفقة الزوجة، فدل قول النبي على وجوب المحرم لها. 
هل من التيسير الحكم بجواز سفر المرأة للحج من غير محرم؟, هذا ليس من التيسير، ألنه مخالف ألمر النبي في وجوب المحرم الذكر مع الأنثى في أي سفر. 
امرأة لا محرم لها إلا الاخ، ويشترط عليها المال  حتى يذهب معها للحج، فهل تدفع له؟,   لا بأس أن تدفع له ما ييسر الحج معها، من غير كلفة منه. 
امرأة لا محرم لها إلا زوجها، وهو ممتنع عن الحج، ماذا تعمل؟, لا يجب عليها الحج في هذه الحالة ، وعليها أن تصبر حتى ييسر الله لها هذه العبادة، وليس هذا من حسن العشرة منه إن لم يكن له مانع شرعي في الرفض. 
هل يصح تبرع الزوجة بتكاليف حج زوجها؟, نعم، ولها الاجر على تبرعها، وهذا من باب التعاون على البر والتقوى وحسن العشرة بين الزوجين. 
امرأة سيوصلها زوجها إلى المطار، ويستقبلها والدها في مطار جدة، فهل هذا جائز؟, لا بأس بهذا، لان المرأة ستكون مع محرمها في بلد السفر، فممكن تجاوز مدة السفر اليسيرة بالوصول. 
هل يجوز أخذ الخادمة مع كفلائها لأداء الحج أو العمرة؟, حكم منع النساء من السفر من غير محرم يشمل كل أنثى، إلا إذا ُخشي على الخادمة لو بقيت وحدها، فحفاظا عليها ُيشرع – إن شاء الله - أن تذهب مع أسرة (الكفيل) للحج، لوجود الزوجة والأولاد.  
ما المقصود بالمواقيت ؟, المواقيت: جمع ميقات، وهو في الشرع: الزمان أو المكان المعد لأداء العبادة. 
ما الحكمة من تشريع المواقيت؟, ليكون مثل التعظيم قبل القدوم إلى بيت الله المحرم، وليستشعر المسلم عظمة البيت. 
ما علاقتها بنسك العمرة أو الحج؟, هي مما ش ّرعه النبي بحيث لا يتجاوزها المسلم إلا بالإحرام، إن كان يريد العمرة أو الحج. 
ما دليل الحكم السابق؟,  َأل ْه ِل  َو َّق ت  َر ُسول الله [  دليله قول ابن عباس :] َأ َّن  َق ْر َن  ٍد :  ِل َ ْجن  َأل ْه  ْح َف َة، َو  ّشام: ا ْ ُجل  ِل لا  َأل ْه  َذا ا ْ ُحل َل ْي َف ِة، َو  ِدين ِة :  ا ْملَ  ِم ْن  َّن  َع َل ْي ِه  ْن َأ َتى  َو ِملَ  َل ُه ّن  ُه َّن  َي َل ْم َل َم،  ِن :  ِل لا ي َم  َأل ْه  ِل، َو  ا ْملَ َناز  َك َف ِم ْن  َذلِ  ُدون  َكان  َو َم ْن  َّج َأ ْو لا ع ْم َر َة،  ْن َأ َراد ا ْ َحل  ِ َّمم  َّن،  ِه  َغ ْي ِر  َم َّك َة.  ِم ْن  َم َّك َة  َأ ْه ُل  َح َّتى  َش َأ،  ُث َأ ْن  َح ْي  عليه ُيشترط  
من أراد عمل زيارة عمل في مكة، هل الإحرام؟,  لا يشترط عليه هذا؛ ألنه لا نية له بالعمرة أو الحج.   
إلى كم قسم ينقسم الميقات ؟, ينقسم الميقات إلى قسمن: زماني ومكاني. 
ما المقصود بالمواقيت الزمانية ؟, الميقات الزماني: هو الوقت الذي ُتعمل فيه أنساك الحج، ويسمى بأشهر الحج، وهي: شوال، وذو القعدة، والعشر الأوائل من ذي الحجة. 
كم ميقاتا مكانيا وقت النبي لأداء العمرة والحج منها؟, المواقيت المكانية خمسة: ذو الحليفة (ميقات أهل المدينة  َق ْرن المنازل  حفة (ميقات أهل الشام ومصر)،  النبوية)، واجل  ويسمى بالسْيل الكبير أو قرن الثعالب (ميقات أهل جند)، َيلملم أو ألملم ويطلق عليه السعدية (ميقات أهل اليمن)، وذات ِع ْرق (ميقات أهل العراق.) 
